date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2016-09-12,,329.0,,,,,,,,,,,
2016-09-13,,287.0,,,,,,,,,,,
2016-09-14,,287.0,,,,,,,,,,,
2016-09-15,,269.0,,,,,,,,,,,
2016-09-16,,286.0,,,,,,,,,,,
2016-09-19,,191.0,,,,,,,,,,,
2016-09-20,,208.0,,,,,,,,,,,
2016-09-21,,91.0,,,,,,,,,,,
2016-09-22,,91.0,,,,,,,,,,,
2016-09-23,,102.0,,,,,,,,,,,
2016-09-26,,60.0,,,,,,,,,,,
2016-09-27,,55.0,,,,,,,,,,,
2016-09-28,,63.0,,,,,,,,,,,
2016-09-29,,66.0,,,,,,,,,,,
2016-09-30,,72.0,,,,,,,,,,,
2016-10-03,,59.0,,,,,,,,,,,
2016-10-04,,80.0,,,,,,,,,,,
2016-10-05,,70.0,,,,,,,,,,,
2016-10-06,,58.0,,,,,,,,,,,
2016-10-07,,51.0,,,,,,,,,,,
2016-10-10,,82.0,,,,,,,,,,,
2016-10-11,,74.0,,,,,,,,,,,
2016-10-12,,61.0,,,,,,,,,,,
2016-10-13,,56.0,,,,,,,,,,,
2016-10-14,,40.0,,,,,,,,,,,
2016-10-17,,49.0,,,,,,,,,,,
2016-10-18,,51.0,,,,,,,,,,,
2016-10-19,,48.0,,,,,,,,,,,
2016-10-20,,62.0,,,,,,,,,,,
2016-10-21,,24.0,,,,,,,,,,,
2016-10-24,,22.0,,,,,,,,,,,
2016-10-25,,32.0,,,,,,,,,,,
2016-10-26,,21.0,,,,,,,,,,,
2016-10-27,,20.0,,,,,,,,,,,
2016-10-28,,15.0,,,,,,,,,,,
2016-10-31,,311.0,,,,,,,,,,,
2016-11-01,,90.0,,,,,,,,,,,
2016-11-02,,82.0,,,,,,,,,,,
2016-11-03,,51.0,,,,,,,,,,,
2016-11-07,,53.0,,,,,,,,,,,
2016-11-08,,44.0,,,,,,,,,,,
2016-11-09,,75.0,,,,,,,,,,,
2016-11-10,,178.0,,,,,,,,,,,
2016-11-11,,213.0,,,,,,,,,,,
2016-11-14,,186.0,,,,,,,,,,,
2016-11-15,,251.0,,,,,,,,,,,
2016-11-16,,174.0,,,,,,,,,,,
2016-11-17,,244.0,,,,,,,,,,,
2016-11-18,,175.0,,,,,,,,,,,
2016-11-21,,119.0,,,,,,,,,,,
2016-11-22,,103.0,,,,,,,,,,,
2016-11-23,,184.0,,,,,,,,,,,
2016-11-24,,181.0,,,,,,,,,,,
2016-11-25,,277.0,,,,,,,,,,,
2016-11-28,,269.0,,,,,,,,,,,
2016-11-29,,239.0,,,,,,,,,,,
2016-11-30,,285.0,,,,,,,,,,,
2016-12-01,,206.0,,,,,,,,,,,
2016-12-02,,297.0,,,,,,,,,,,
