date,wavp,adjp,open,high,low,close,chng,lt_vol,n_trades,vol_rub,vol_contr,oi_rub,oi_contr
2021-02-11,,367.0,,,,,,,,,,,
2021-02-12,,526.0,,,,,,,,,,,
2021-02-15,,443.0,,,,,,,,,,,
2021-02-16,,387.0,,,,,,,,,,,
2021-02-17,,542.0,,,,,,,,,,,
2021-02-18,,518.0,,,,,,,,,,,
2021-02-19,,482.0,,,,,,,,,,,
2021-02-20,,416.0,,,,,,,,,,,
2021-02-22,,308.0,,,,,,,,,,,
2021-02-24,,371.0,,,,,,,,,,,
2021-02-25,,343.0,,,,,,,,,,,
2021-02-26,,388.0,,,,,,,,,,,
2021-03-01,,252.0,,,,,,,,,,,
2021-03-02,,180.0,,,,,,,,,,,
2021-03-03,,222.0,,,,,,,,,,,
2021-03-04,,303.0,,,,,,,,,,,
2021-03-05,,273.0,,,,,,,,,,,
2021-03-09,,243.0,,,,,,,,,,,
2021-03-10,,283.0,,,,,,,,,,,
2021-03-11,,263.0,,,,,,,,,,,
2021-03-12,,308.0,,,,,,,,,,,
2021-03-15,,303.0,,,,,,,,,,,
2021-03-16,,308.0,,,,,,,,,,,
2021-03-17,,267.0,,,,,,,,,,,
2021-03-18,,264.0,,,,,,,,,,,
2021-03-19,,257.0,,,,,,,,,,,
2021-03-22,,225.0,,,,,,,,,,,
2021-03-23,,258.0,,,,,,,,,,,
2021-03-24,,253.0,,,,,,,,,,,
2021-03-25,,254.0,,,,,,,,,,,
2021-03-26,,312.0,,,,,,,,,,,
2021-03-29,,248.0,,,,,,,,,,,
2021-03-30,,329.0,,,,,,,,,,,
2021-03-31,,160.0,,,,,,,,,,,
2021-04-01,,138.0,,,,,,,,,,,
2021-04-02,,128.0,,,,,,,,,,,
2021-04-05,,145.0,,,,,,,,,,,
2021-04-06,,153.0,,,,,,,,,,,
2021-04-07,,153.0,,,,,,,,,,,
2021-04-08,,125.0,,,,,,,,,,,
2021-04-09,,135.0,,,,,,,,,,,
2021-04-12,,120.0,,,,,,,,,,,
2021-04-13,,99.0,,,,,,,,,,,
2021-04-14,,110.0,,,,,,,,,,,
2021-04-15,,68.0,,,,,,,,,,,
2021-04-16,,172.0,,,,,,,,,,,
2021-04-19,,88.0,,,,,,,,,,,
2021-04-20,,90.0,,,,,,,,,,,
2021-04-21,,131.0,,,,,,,,,,,
2021-04-22,,104.0,,,,,,,,,,,
2021-04-23,,161.0,,,,,,,,,,,
2021-04-26,,45.0,,,,,,,,,,,
2021-04-27,,43.0,,,,,,,,,,,
2021-04-28,,35.0,,,,,,,,,,,
2021-04-29,,42.0,,,,,,,,,,,
2021-04-30,,46.0,,,,,,,,,,,
2021-05-04,,65.0,,,,,,,,,,,
2021-05-05,,58.0,,,,,,,,,,,
2021-05-06,,73.0,,,,,,,,,,,
2021-05-07,,61.0,,,,,,,,,,,
2021-05-10,,62.0,,,,,,,,,,,
2021-05-11,,34.0,,,,,,,,,,,
2021-05-12,,78.0,,,,,,,,,,,
2021-05-13,,43.0,,,,,,,,,,,
2021-05-14,,33.0,,,,,,,,,,,
2021-05-17,,32.0,,,,,,,,,,,
2021-05-18,,30.0,,,,,,,,,,,
2021-05-19,,28.0,,,,,,,,,,,
2021-05-20,,45.0,,,,,,,,,,,
2021-05-21,,25.0,,,,,,,,,,,
2021-05-24,,36.0,,,,,,,,,,,
2021-05-25,,6.0,,,,,,,,,,,
2021-05-26,,17.0,,,,,,,,,,,
2021-05-27,,15.0,,,,,,,,,,,
2021-05-28,,25.0,,,,,,,,,,,
2021-05-31,,24.0,,,,,,,,,,,
2021-06-01,,31.0,,,,,,,,,,,
2021-06-02,,16.0,,,,,,,,,,,
2021-06-03,,7.0,,,,,,,,,,,
2021-06-04,,14.0,,,,,,,,,,,
2021-06-07,,11.0,,,,,,,,,,,
2021-06-08,,1.0,,,,,,,,,,,
2021-06-09,,7.0,,,,,,,,,,,
2021-06-10,,5.0,,,,,,,,,,,
2021-06-11,,2.0,,,,,,,,,,,
2021-06-14,,1.0,,,,,,,,,,,
2021-06-15,,7.0,,,,,,,,,,,
2021-06-16,,6.0,,,,,,,,,,,
2021-06-17,,16.0,,,,,,,,,,,
2021-06-18,,21.0,,,,,,,,,,,
2021-06-21,,30.0,,,,,,,,,,,
2021-06-22,,26.0,,,,,,,,,,,
2021-06-23,,24.0,,,,,,,,,,,
2021-06-24,,25.0,,,,,,,,,,,
2021-06-25,,28.0,,,,,,,,,,,
2021-06-28,,30.0,,,,,,,,,,,
2021-06-29,,27.0,,,,,,,,,,,
2021-06-30,,25.0,,,,,,,,,,,
2021-07-01,,31.0,,,,,,,,,,,
2021-07-02,,20.0,,,,,,,,,,,
2021-07-05,,27.0,,,,,,,,,,,
2021-07-06,,8.0,,,,,,,,,,,
2021-07-07,,12.0,,,,,,,,,,,
2021-07-08,,12.0,,,,,,,,,,,
2021-07-09,,14.0,,,,,,,,,,,
2021-07-12,,21.0,,,,,,,,,,,
2021-07-13,,14.0,,,,,,,,,,,
2021-07-14,,18.0,,,,,,,,,,,
2021-07-15,,11.0,,,,,,,,,,,
2021-07-16,,12.0,,,,,,,,,,,
2021-07-19,,16.0,,,,,,,,,,,
2021-07-20,,15.0,,,,,,,,,,,
2021-07-21,,12.0,,,,,,,,,,,
2021-07-22,,17.0,,,,,,,,,,,
2021-07-23,,24.0,,,,,,,,,,,
2021-07-26,,27.0,,,,,,,,,,,
2021-07-27,,15.0,,,,,,,,,,,
2021-07-28,,18.0,,,,,,,,,,,
2021-07-29,,13.0,,,,,,,,,,,
2021-07-30,,12.0,,,,,,,,,,,
2021-08-02,,16.0,,,,,,,,,,,
2021-08-03,,11.0,,,,,,,,,,,
2021-08-04,,11.0,,,,,,,,,,,
2021-08-05,,5.0,,,,,,,,,,,
2021-08-06,,9.0,,,,,,,,,,,
2021-08-09,,8.0,,,,,,,,,,,
2021-08-10,,12.0,,,,,,,,,,,
2021-08-11,,5.0,,,,,,,,,,,
2021-08-12,,5.0,,,,,,,,,,,
2021-08-13,,5.0,,,,,,,,,,,
2021-08-16,,5.0,,,,,,,,,,,
2021-08-17,,3.0,,,,,,,,,,,
2021-08-18,,4.0,,,,,,,,,,,
